"","PRIMARY_COUNTY","FACILITY_NAME","DISCHARGE_METHOD","PRES_RES_TOTAL_RECEIVNG_TRMT","EXIST_MUNICIPAL","EXIST_INDUSTRIAL","EXIST_INFILTRATION","EXIST_TOTAL","EXIST_WET_WEATHER_PEAK","PRIMARY_WATERSHED_NAME","HORIZONTAL_COORDINATE_DATUM","PFOS  discharge  based on MN WWTP regression representing year 2007 (kg)","geometry","intersection","ORIGINAL_HUC_8","CALCULATED_HUC_12","CALCULATED_HUC_8"
"61","Riverside","Moreno Valley Regional WRF","Outfall To Surface Waters",153205,10.2,NA,0.01,10.21,10,"San Jacinto","North American Datum of 1983",0.206181931502607,c(-117.3393, 33.6797),84389,"18070202","180702030601","18070203"
"62","Fulton","UTOY CREEK WWTP","Outfall To Surface Waters",152541,30.714,1.6,NA,32.314,NA,"Middle Chattahoochee-Lake Harding","North American Datum of 1983",0.205074437837703,c(-84.3903, 33.7479),86002,"03130002","030701030102","03070103"
"63","San Bernardino","IEUA Regional Plant No.5","Outfall To Surface Waters",149973,10.5,NA,NA,10.5,NA,"Santa Ana","North American Datum of 1983",0.200802158624207,c(-117.4042, 33.5816),84749,"18070203","180703010201","18070301"
"64","Washtenaw","ANN ARBOR WWTP","Outfall To Surface Waters",149690,14.39,0.75,NA,15.14,NA,"Huron","North American Datum of 1983",0.200332410538815,c(-83.6699, 42.2692),44598,"04090005","041000130402","04100013"
"65","Middlesex","Lowell Regional Wastewater Utility","Outfall To Surface Waters",149596,13.77,2,NA,15.77,NA,"Merrimack","North American Datum of 1983",0.200176428269594,c(-71.2889, 42.6484),21058,"01070002","010700061207","01070006"
"66","Riverside","Temecula Valley Regional WRF","Outfall To Surface Waters",141861,11.4,0.11,0.01,11.52,12,"Santa Margarita","North American Datum of 1983",0.187422747548022,c(-117.3393, 33.6797),84389,"18070302","180702030601","18070203"
"67","Muskegon","MUSKEGON CO METRO STP","Outfall To Surface Waters",141763,5.6,26.65,NA,32.25,NA,"Lake Michigan","North American Datum of 1983",0.187262212066828,c(-86.0625, 43.2639),29367,"04060200","040601021002","04060102"
"68","Montgomery","CLARKSVILLE WWTP","Outfall To Surface Waters",140000,8.92,1,NA,9.92,NA,"Lower Cumberland","North American Datum of 1983",0.184378774237812,c(-87.3561, 36.5459),22339,"05130205","051302060708","05130206"
"69","Davidson","Nashville - Dry Creek WWTP","Outfall To Surface Waters",139127,17.223,0.377,NA,17.6,50.3,"Lower Cumberland-Old Hickory Lake","North American Datum of 1983",0.182954173373663,c(-86.6894, 36.2889),22579,"05130201","051302020302","05130202"
"70","Clackamas","TRI CITY WPCP","Outfall To Surface Waters",134591,7,NA,NA,7,NA,"Middle Willamette","North American Datum of 1983",0.175586864615065,c(-122.589, 45.3761),76228,"17090007","170900110607","17090011"
"71","San Diego","San Luis Rey WWTP","Ocean Discharge",132054,9.3,0.3,NA,9.6,16,"Santa Margarita","North American Datum of 1983",0.171492090548841,c(-117.371, 33.1802),85153,"18070302","180703030504","18070303"
"72","York","YORK RIVER W P C F","Outfall To Surface Waters",130319,5.91,0.75,NA,6.66,NA,"York","North American Datum of 1983",0.168702591992061,c(-76.448, 37.2008),669,"02080107","020801080101","02080108"
"73","Los Angeles","Terminal Island WWTP","Outfall To Surface Waters",130000,6.6,9.9,NA,16.5,NA,"Santa Monica Bay","North American Datum of 1983",0.168190675976643,c(-118.2611, 33.7455),2054,"18070104","180701060703","18070106"
"74","Larimer","Fort Collins Drake WW Reclamat Fac","Outfall To Surface Waters",129000,7,2.5,NA,9.5,NA,"Big Thompson","North American Datum of 1983",0.166587879452445,c(-105.0622, 40.5814),14445,"10190006","101900070805","10190007"
"75","Santa Cruz","SANTA CRUZ WWTF","Ocean Discharge",123275,13.95,1.37,NA,15.32,NA,"San Lorenzo-Soquel","North American Datum of 1983",0.157469762720559,c(-121.7591, 36.9176),59207,"18060001","180600020804","18060002"
"76","Los Angeles","Lancaster WRP","Outfall To Surface Waters",122548,12,1.2,NA,13.2,24.6,"Antelope-Fremont Valleys","North American Datum of 1983",0.156319040911211,c(-118.5919, 34.4324),5377,"18090206","180701020403","18070102"
"77","Cuyahoga","NEORSD Westerly WWTP","Outfall To Surface Waters",122497,35,NA,NA,35,NA,"Black-Rocky","North American Datum of 1983",0.156238377641216,c(-81.7255, 41.4929),56429,"04110001","042600000102","04260000"
"78","Norfolk","ARMY BASE W P C F","Outfall To Surface Waters",121847,12.68,1.5,NA,14.18,NA,"Lower Chesapeake Bay","North American Datum of 1983",0.155211023178957,c(-76.3283, 36.9215),8100,"02080101","020802080302","02080208"
"79","Jefferson","Hillebrandt WWTP","Outfall To Surface Waters",121400,26,8,NA,34,NA,"Lower Neches","North American Datum of 1983",0.154505281896669,c(-94.132, 29.9943),97386,"12020003","120402010200","12040201"
"80","Placer","Pleasant Grove WWTP","Outfall To Surface Waters",120000,7,NA,NA,7,NA,"Lower Sacramento","North American Datum of 1983",0.152298948286846,c(-121.3786, 38.7867),84074,"18020109","180201610302","18020161"
"81","Suffolk","NANSEMOND W P C F","Outfall To Surface Waters",119865,12,5,NA,17,NA,"Lower James","North American Datum of 1983",0.152086519943864,c(-76.4233, 36.8904),8101,"02080206","020802080301","02080208"
"82","Northampton","EASTON AREA STP","Outfall To Surface Waters",118292,5.7,1,NA,6.7,NA,"Middle Delaware-Musconetcong","North American Datum of 1983",0.149615581102195,c(-75.2077, 40.6868),21403,"02040105","020401060813","02040106"
"83","Fairfield","BRIDGEPORT WESTSIDE","Outfall To Surface Waters",117525,14.522,9.57,NA,24.092,NA,"Long Island Sound","North American Datum of 1983",0.148413593754902,c(-73.2129, 41.1593),82758,"01100007","011000060303","01100006"
"84","Erie","Amherst (T) WWTP #16 & Onsites","Outfall To Surface Waters",116442,24.083,NA,NA,24.083,NA,"Niagara","North American Datum of 1983",0.146719599532881,c(-78.8113, 43.0486),42258,"04120104","042701010406","04270101"
"85","Nueces","OSO STP","Outfall To Surface Waters",115400,12.65,0.2,NA,12.85,NA,"North Corpus Christi Bay","North American Datum of 1983",0.145093301243566,c(-97.3381, 27.7101),30045,"12110201","121102020106","12110202"
"86","Hillsborough","Manchester WWTF","Outfall To Surface Waters",113265,26.9,7,NA,33.9,43.6,"Merrimack","North American Datum of 1983",0.141772129756814,c(-71.458, 42.9431),21675,"01070002","010700060803","01070006"
"87","Riverside","San Jacinto Regional WRF","Outfall To Surface Waters",111795,8.62,0.09,0.01,8.72,11.62,"San Jacinto","North American Datum of 1983",0.139494122976548,c(-117.3393, 33.6797),84389,"18070202","180702030601","18070203"
"88","Erie","Tonawanda (T) WWTP","Outfall To Surface Waters",110717,14.933,NA,4.692,19.625,NA,"Niagara","North American Datum of 1983",0.137828142447557,c(-78.9033, 42.9941),49711,"04120104","042701010806","04270101"
"89","Utah","PROVO","Outfall To Surface Waters",108962,11.5,1,1,13.5,NA,"Provo","North American Datum of 1983",0.135124232809281,c(-111.6508, 40.2125),47062,"16020203","160202010500","16020201"
"90","East Baton Rouge","BATON ROUGE NORTH WWTP","Outfall To Surface Waters",108837,16,NA,NA,16,NA,"Lower Mississippi-Baton Rouge","North American Datum of 1983",0.134932043128431,c(-91.2011, 30.5343),63747,"08070100","080702010402","08070201"
"91","Riverside","Perris Valley Regional WRF","Outfall To Surface Waters",105653,11.12,0.12,0.01,11.25,NA,"San Jacinto","North American Datum of 1983",0.130054574476687,c(-117.3393, 33.6797),84389,"18070202","180702030601","18070203"
"92","Washington","ST GEORGE","Outfall To Surface Waters",105624,NA,NA,NA,10.3,NA,"Lower Virgin","North American Datum of 1983",0.130010310627632,c(-113.5796, 37.1116),55307,"15010010","150100080910","15010008"
"93","Ventura","Ventura Water Reclamation Facility","Outfall To Surface Waters",105000,10,NA,NA,10,NA,"Ventura","North American Datum of 1983",0.129058582280981,c(-119.2606, 34.2423),5541,"18070101","180701020904","18070102"
"94","Tulare","Visalia WWTP","Outfall To Surface Waters",102684,12,NA,NA,12,NA,"Tulare-Buena Vista Lakes","North American Datum of 1983",0.125538115196721,c(-119.4042, 36.3126),58648,"18030012","180300071301","18030007"
"95","Los Angeles","Whittier Narrows WRP","Outfall To Surface Waters",1e+05,6.4,1.4,NA,7.8,9.8,"San Gabriel","North American Datum of 1983",0.121482063202144,c(-118.0671, 34.0302),5795,"18070106","180701050303","18070105"
"96","Bowie","Texarkana South Regional WWTP","Outfall To Surface Waters",97468,13.15,0.48,NA,13.63,NA,"Pecan-Waterhole","North American Datum of 1983",0.117679579243421,c(-94.0485, 33.376),4537,"11140106","111403020705","11140302"
"97","Solano","Easterly WWTP","Outfall To Surface Waters",95483,7.8,0.6,NA,8.4,NA,"Lower Sacramento","North American Datum of 1983",0.114715068372426,c(-121.9017, 38.3467),84623,"18020109","180201630504","18020163"
"98","Charles","Mattawoman WWTP","Outfall To Surface Waters",93034,7.435,0.24,NA,7.675,NA,"Middle Potomac-Anacostia-Occoquan","North American Datum of 1983",0.111077950909365,c(-77.111, 38.578),86101,"02070010","020700110102","02070011"
"99","Chesterfield","PROCTORS CREEK WWTP","Outfall To Surface Waters",92000,9.4,NA,NA,9.4,NA,"Appomattox","North American Datum of 1983",0.10954916334692,c(-77.3939, 37.3804),48996,"02080207","020802060103","02080206"
"100","Stearns","ST CLOUD WWTF","Outfall To Surface Waters",90728,NA,NA,NA,7.1,NA,"Mississippi Headwaters","North American Datum of 1983",0.107674141461912,c(-94.1194, 45.4736),13968,"07010101","070102030103","07010203"
"101","Queens","New York (C) - Rockaway WPCP","Outfall To Surface Waters",90474,21.02,NA,NA,21.02,NA,"Southern Long Island","North American Datum of 1983",0.107300479015445,c(-73.8283, 40.5836),15386,"02030202","020301040503","02030104"
"102","Hillsborough","Nashua WWTF","Outfall To Surface Waters",89907,13.31,NA,NA,13.31,20,"Merrimack","North American Datum of 1983",0.106467267308169,c(-71.4431, 42.7462),13108,"01070002","010700061206","01070006"
"103","Ventura","Simi Valley WWTP","Outfall To Surface Waters",89825,8.55,0.45,NA,9,NA,"Santa Clara","North American Datum of 1983",0.106346871714459,c(-118.8167, 34.2852),5543,"18070102","180701030102","18070103"
"104","Oklahoma","OKC-DEER CREEK WWT","Outfall To Surface Waters",88690,10,NA,NA,10,NA,"Lower Cimarron-Skeleton","North American Datum of 1983",0.104683137665782,c(-97.5198, 35.4678),45641,"11050002","111003020103","11100302"
"105","Mercer","Trenton City Sew Utility CS-Septics","Outfall To Surface Waters",88000,20,NA,NA,20,NA,"Middle Delaware-Musconetcong","North American Datum of 1983",0.103674195185703,c(-74.7533, 40.1908),65924,"02040105","020402010404","02040201"
"106","Webb","Zacate Creek WWTP","Outfall To Surface Waters",88000,11.37,NA,NA,11.37,NA,"International Falcon Reservoir","North American Datum of 1983",0.103674195185703,c(-99.4686, 27.5967),23854,"13080003","130800022802","13080002"
"107","East Baton Rouge","BATON ROUGE CENTRAL WWTP","Outfall To Surface Waters",87084,12,NA,NA,12,NA,"Lower Mississippi-Baton Rouge","North American Datum of 1983",0.102337719973976,c(-91.1908, 30.4244),32080,"08070100","080702020803","08070202"
"108","Los Angeles","Tapia WRF","Outfall To Surface Waters",85995,9.2,0.3,NA,9.5,20,"Los Angeles","North American Datum of 1983",0.10075321847992,c(-118.7064, 34.0819),5656,"18070105","180701040104","18070104"
"109","Niagara","Niagara (Co) SD #1 WWTP","Outfall To Surface Waters",82200,4.303,NA,2.187,6.49,NA,"Niagara","North American Datum of 1983",0.0952693523691032,c(-78.9233, 43.0698),49711,"04120104","042701010806","04270101"
"110","Bonneville","IDAHO FALLS STP","Outfall To Surface Waters",81482,10.139,1.55,NA,11.689,NA,"Idaho Falls","North American Datum of 1983",0.0942385603268993,c(-112.0767, 43.4613),74004,"17040201","170402060301","17040206"
"111","Cameron","South WWTP - Brownsville","Outfall To Surface Waters",80000,5.733,0.4,NA,6.133,NA,"Lower Rio Grande","North American Datum of 1983",0.092117839381555,c(-97.4684, 25.8984),30031,"13090002","121102080900","12110208"
"112","Johnson","JO CO MILL CREEK REG WWTP","Outfall To Surface Waters",77980,10.5,NA,NA,10.5,34,"Lower Kansas","North American Datum of 1983",0.0892424255167803,c(-94.7026, 38.9238),60703,"10270104","103001010102","10300101"
"113","El Paso","Northwest WWTP","Outfall To Surface Waters",77132,7.099,0.27,NA,7.369,NA,"Rio Grande-Fort Quitman","North American Datum of 1983",0.0880406122372422,c(-106.525, 31.7947),23220,"13040100","130301020906","13030102"
"114","Guam","AGANA DISTRICT WWTF","Ocean Discharge",76586,7.5,NA,NA,7.5,NA,"Guam","North American Datum of 1983",0.0872684775632668,c(144.7475, 13.4809),89357,"99000001","220100000304","22010000"
"115","Davis","SOUTH DAVIS SD - NORTH","Outfall To Surface Waters",74933,NA,NA,NA,9.6,NA,"Great Salt Lake","North American Datum of 1983",0.0849389383225093,c(-111.9276, 40.9014),47851,"16020310","160201020501","16020102"
"116","Union","Linden Roselle SA - STP","Outfall To Surface Waters",74148,4.3,2,5.7,12,NA,"Hackensack-Passaic","North American Datum of 1983",0.0838369492515098,c(-74.2204, 40.6094),45887,"02030103","020301040104","02030104"
"117","Clark","VANCOUVER EASTSIDE STP","Outfall To Surface Waters",74100,16.1,NA,NA,16.1,NA,"Lower Columbia-Sandy","North American Datum of 1983",0.0837696569776485,c(-122.6168, 45.6137),15610,"17080001","170800030104","17080003"
"118","St. John the Baptist","LAPLACE PLANT","Outfall To Surface Waters",73000,4.5,NA,NA,4.5,NA,"Lower Mississippi-Baton Rouge","North American Datum of 1983",0.0822304194836495,c(-90.5483, 30.0533),102156,"08070100","080702040303","08070204"
"119","Belknap","Franklin WWTF - WRBP","Outfall To Surface Waters",72405,6.655,0.87,NA,7.525,10.753,"Merrimack","North American Datum of 1983",0.0814001435840942,c(-71.6521, 43.4128),21743,"01070002","010700060101","01070006"
