"","FACIL_NAME","STATE","BRANCH","Latitude","Longitude","intersection","HUC","elevation","elev_units","geometry"
"104","Bellows Air Force Station","Hawaii","Air Force",21.3688029,-157.7106512,8147,"200600000207",5.99,"meters",c(-157.710640671008, 21.3688111365182)
"105","Fort Ruger","Hawaii","Army",21.2595061,-157.7968065,8134,"200600000302",17.31,"meters",c(-157.796795941008, 21.2595143964093)
"106","Hilo AASF #2","Hawaii","Army",19.715588,-155.055642,8699,"200100000407",10.22,"meters",c(-155.055632747642, 19.7155969121094)
"107","JBPHH PEARL HARBOR HI","Hawaii","Navy",21.348698,-157.9440178,8137,"200600000401",8.33,"meters",c(-157.944007170081, 21.348706261241)
"108","Kalaoloa Facility (Former Barbers Point-NAS)","Hawaii","Army",21.322712,-158.083528,8141,"200600000405",15.67,"meters",c(-158.083517310852, 21.3227202830264)
"109","KANEOHE BAY HI MCB","Hawaii","Navy",21.4433045,-157.7489524,8145,"200600000205",3.47,"meters",c(-157.748941848848, 21.4433127017613)
"110","NAVFAC HAWAII P HARBOR","Hawaii","Navy",21.3534534,-157.928753,8137,"200600000401",15.35,"meters",c(-157.928742376428, 21.3534616579065)
"111","NMC EAD DET PEARL HARBOR","Hawaii","Navy",21.338652,-157.979934,8140,"200600000404",3.97,"meters",c(-157.979923355067, 21.3386602685181)
"112","PEARL HARBOR HI FISC","Hawaii","Navy",21.361553,-157.943043,8137,"200600000401",3.27,"meters",c(-157.943032369581, 21.3615612547759)
"113","PEARL HARBOR HI NSY","Hawaii","Navy",21.3486928,-157.9440233,8137,"200600000401",8.33,"meters",c(-157.944012670078, 21.348701061244)
"114","USAG HI - Dillingham Military Reservation","Hawaii","Army",21.4829929,-158.0428138,8139,"200600000403",253.89,"meters",c(-158.042803117038, 21.4830011006269)
"115","USAG HI - Fort Shafter/Tripler Army Medical Center","Hawaii","Army",21.3624095,-157.8914319,8133,"200600000305",105.79,"meters",c(-157.891421292145, 21.3624177510853)
"116","USAG HI - Hawaii - Wheeler Army Airfield","Hawaii","Army",21.4744642,-158.0328463,8139,"200600000403",242.94,"meters",c(-158.032835622029, 21.4744724042388)
"117","USAG HI - Helemano RAD REC Station","Hawaii","Army",21.53596,-158.019737,8113,"200600000102",337.09,"meters",c(-158.019726323288, 21.53596817276)
"118","USAG HI - Kahuku Training Area","Hawaii","Army",21.677219,-157.954548,8117,"200600000201",4.01,"meters",c(-157.954537341543, 21.6772270981474)
"119","USAG HI - Kilauea Military Reservation","Hawaii","Army",19.433028,-155.273936,8704,"200100000703",1218.99,"meters",c(-155.273926667432, 19.4330370649154)
"120","USAG HI - Kipapa Ammunition Storage Site","Hawaii","Army",21.4604828,-158.0101264,8139,"200600000403",213.94,"meters",c(-158.010115733007, 21.4604910097543)
"121","USAG HI - Kunia Field Station","Hawaii","Army",21.4765221,-158.0529675,8139,"200600000403",230.42,"meters",c(-158.05295681306, 21.4765303044992)
"122","USAG HI - Makua Military Reservation","Hawaii","Army",21.528407,-158.2274144,8171,"200600000506",4.9,"meters",c(-158.227403632832, 21.5284151898675)
"123","USAG HI - Oahu - Schofield Barracks","Hawaii","Army",21.4954957,-158.0626555,8113,"200600000102",272.85,"meters",c(-158.062644807428, 21.4955038956677)
"124","USAG HI - Pohakuloa Training Center","Hawaii","Army",19.673578,-155.34238,90008,"200100000403",1572.42,"meters",c(-155.34237062337, 19.6735869480452)
"125","USAG HI - Waikakalaua Ammunition Storage Tunnels","Hawaii","Army",21.4389123,-158.0000565,8139,"200600000403",163.28,"meters",c(-158.00004583899, 21.4389205198587)
"126","Waiawa Unit Training Equipment Site (UTES)","Hawaii","Army",21.444325,-157.962677,8138,"200600000402",253.42,"meters",c(-157.962666354985, 21.4443332147833)
"127","Edgemeade TS Mountain Home","Idaho","Army",43.142794,-115.650135,78874,"170501011102",1024.34,"meters",c(-115.650135, 43.142794)
"128","Gowen Field Boise/Airport Training Area","Idaho","Army",43.5658231,-116.2223159,75287,"170501140202",868.56,"meters",c(-116.2223159, 43.5658231)
"129","Orchard MATES Boise","Idaho","Army",43.298031,-116.063067,78574,"170501010905",958.46,"meters",c(-116.063067, 43.298031)
"130","Chicago (Midway Armory, AASF #2)","Illinois","Army",41.7784849,-87.7566708,7119,"071200040705",188.32,"meters",c(-87.7566708, 41.7784849)
"131","Decatur AASF #1","Illinois","Army",39.8393162,-88.8784239,9907,"071300060405",204.58,"meters",c(-88.8784239, 39.8393162)
"132","Glenview NAS","Illinois","Navy",42.0917068,-87.8143844,8418,"071200030103",192.57,"meters",c(-87.8143844, 42.0917068)
"133","GREAT LAKES IL NSTC","Illinois","Navy",42.3124041,-87.8413901,38652,"040400020501",197.38,"meters",c(-87.8413901, 42.3124041)
"134","Kankakee AASF / Readiness Center","Illinois","Army",41.063078,-87.845407,8412,"071200021402",188.91,"meters",c(-87.845407, 41.063078)
"135","O'Hare Air Reserve Station","Illinois","Air Force",41.9741625,-87.9073214,7057,"071200040506",201.41,"meters",c(-87.9073214, 41.9741625)
"136","Peoria AASF #3 and AASF #4","Illinois","Army",40.659908,-89.681515,89422,"071300030303",196.64,"meters",c(-89.681515, 40.659908)
"137","Camp Atterbury/Range 36 ATG","Indiana","Army",39.284422,-86.057748,87484,"051202040903",260.31,"meters",c(-86.057748, 39.284422)
"138","Gary AASF","Indiana","Army",41.614885,-87.403333,30994,"071200030406",179.94,"meters",c(-87.403333, 41.614885)
"139","Indianapolis","Indiana","Navy",39.768403,-86.158068,87072,"051202011201",219.5,"meters",c(-86.158068, 39.768403)
"140","Muscatatuck Urban Training Center","Indiana","Army",39.0494814,-85.5286931,61026,"051202070404",242.49,"meters",c(-85.5286931, 39.0494814)
"141","Boone AASF","Iowa","Army",42.0484304,-93.8538163,89029,"071000040706",349.58,"meters",c(-93.8538163, 42.0484304)
"142","Camp Dodge Johnston Training Site","Iowa","Army",41.6889207,-93.7120181,89134,"071000040911",254.23,"meters",c(-93.7120181, 41.6889207)
"143","Davenport AASF","Iowa","Army",41.6165546,-90.5816807,6808,"070801010405",227.66,"meters",c(-90.5816807, 41.6165546)
"144","Iowa Army Ammunition Plant","Iowa","Army",40.8253249,-91.2654254,10415,"070801071005",221.42,"meters",c(-91.2654254, 40.8253249)
"145","Waterloo Big Rock AASF #2","Iowa","Army",42.554788,-92.38388,3788,"070802050702",264.26,"meters",c(-92.38388, 42.554788)
"146","ASF New Century","Kansas","Army",38.826556,-94.897183,60511,"102901020102",321.99,"meters",c(-94.897183, 38.826556)
"147","Forbes Field","Kansas","Air Force",38.9483444,-95.6664279,62896,"102701040104",321.13,"meters",c(-95.6664279, 38.9483444)
"148","McConnell AFB","Kansas","Air Force",37.631893,-97.2514246,20051,"110300130106",413.25,"meters",c(-97.2514246, 37.631893)
"149","Salina AASF #2","Kansas","Army",38.784894,-97.641845,15700,"102600100407",384.81,"meters",c(-97.641845, 38.784894)
"150","Topeka Forbes Field AASF #1","Kansas","Army",38.9483444,-95.6664279,62896,"102701040104",321.13,"meters",c(-95.6664279, 38.9483444)
"151","Blue Grass Army Depot","Kentucky","Army",37.6815013,-84.2573889,64784,"051002050202",311.5,"meters",c(-84.2573889, 37.6815013)
"152","Boone National Guard Center - AASF","Kentucky","Army",38.1862476,-84.9021003,35478,"051002051004",232.88,"meters",c(-84.9021003, 38.1862476)
"153","Fort Campbell","Kentucky","Army",36.6634467,-87.4773902,22378,"051302060604",168.25,"meters",c(-87.4773902, 36.6634467)
"154","Fort Knox","Kentucky","Army",37.8836637,-85.9652686,19108,"051401040104",233.21,"meters",c(-85.9652686, 37.8836637)
"155","Louisville Crane Division Det NOS/NSWC","Kentucky","Navy",38.870614,-86.834277,85793,"051202081101",229.68,"meters",c(-86.834277, 38.870614)
"156","W.H. Ford Regional Training Center","Kentucky","Army",37.2567569,-87.2060481,87577,"051100060401",154.15,"meters",c(-87.2060481, 37.2567569)
"157","Camp Beauregard","Louisiana","Army",31.3716452,-92.4000294,86796,"080403040501",44.95,"meters",c(-92.4000294, 31.3716452)
"158","Camp Villere","Louisiana","Army",30.3175236,-89.8130313,64850,"080902010305",5.64,"meters",c(-89.8130313, 30.3175236)
"159","Esler Field AASF #2","Louisiana","Army",31.3937585,-92.2956919,86801,"080403040502",26.58,"meters",c(-92.2956919, 31.3937585)
"160","Fort Polk","Louisiana","Army",31.0436081,-93.2219164,87722,"080802040301",95.25,"meters",c(-93.2219164, 31.0436081)
"161","Fort Polk - Peason Ridge","Louisiana","Army",31.3698582,-93.2684215,60522,"111402070202",121.29,"meters",c(-93.2684215, 31.3698582)
"162","Hammond AASF #1","Louisiana","Army",30.5178278,-90.4070755,101961,"080702040501",12.13,"meters",c(-90.4070755, 30.5178278)
"163","NEW ORLEANS LA NAS JRB","Louisiana","Navy",29.823879,-90.013772,86590,"080903010404",-0.91,"meters",c(-90.013772, 29.823879)
"164","Bangor Training Site","Maine","Army",44.8209628,-68.7413009,64617,"010200051003",35.36,"meters",c(-68.7413009, 44.8209628)
"165","Brunswick  West","Maine","Army",43.9140162,-69.966996,21465,"010400021007",19.89,"meters",c(-69.966996, 43.9140162)
"166","Brunswick Armed Forces Reserve Center","Maine","Army",44.0804023,-70.2751312,20891,"010400020910",76.24,"meters",c(-70.2751312, 44.0804023)
"167","Brunswick East","Maine","Army",43.9140162,-69.966996,21465,"010400021007",19.89,"meters",c(-69.966996, 43.9140162)
"168","Caswell Training Site","Maine","Army",47.00091,-67.861146,41473,"010100041406",242.66,"meters",c(-67.861146, 47.00091)
"169","Presque Isle SFRO","Maine","Army",46.698554,-68.003976,41455,"010100041203",137.67,"meters",c(-68.003976, 46.698554)
"170","Aberdeen Proving Ground","Maryland","Army",39.4632824,-76.1203982,23101,"020600030202",5.22,"meters",c(-76.1203982, 39.4632824)
"171","Annapolis NSWC Carderock DIV Det","Maryland","Navy",38.9734074,-77.1950927,35900,"020700081005",38.24,"meters",c(-77.1950927, 38.9734074)
"172","BAINBRIDGE MD NTC","Maryland","Navy",39.6055541,-76.0995268,87781,"020503061713",84.94,"meters",c(-76.0995268, 39.6055541)
"173","Fort Detrick","Maryland","Army",39.4382526,-77.4231264,86099,"020700090606",111.68,"meters",c(-77.4231264, 39.4382526)
"174","Fort Detrick - Forest Glen Annex","Maryland","Army",39.0059681,-77.0527078,49710,"020700100102",94.41,"meters",c(-77.0527078, 39.0059681)
"175","Fort Meade - Phoenix Military Reservation","Maryland","Army",39.097893,-76.729178,60054,"020600060203",46.13,"meters",c(-76.729178, 39.097893)
"176","Martin State","Maryland","Air Force",39.3283353,-76.4236353,64575,"020600030701",1.65,"meters",c(-76.4236353, 39.3283353)
"177","NAVSURFWARCEN WBETH DD","Maryland","Navy",38.973842,-77.196196,35900,"020700081005",38.97,"meters",c(-77.196196, 38.973842)
"178","SOLOMONS MD NRECC","Maryland","Navy",38.336567,-76.472186,85910,"020600060604",6,"meters",c(-76.472186, 38.336567)
"179","ST INIGOES MD NAVELEXSYS","Maryland","Navy",38.146847,-76.424986,85343,"020700110903",5.1,"meters",c(-76.424986, 38.146847)
"180","W REED NAT MIL MED CTR","Maryland","Navy",39.001465,-77.0939265,49710,"020700100102",90.42,"meters",c(-77.0939265, 39.001465)
"181","Weide AASF (enclave on APG)","Maryland","Army",39.394065,-76.292104,23106,"020600030602",5.85,"meters",c(-76.292104, 39.394065)
"182","Camp Edwards","Massachusetts","Army",41.6542251,-70.5376902,15612,"010900020203",34.87,"meters",c(-70.5376902, 41.6542251)
"183","Natick Soldier Systems Center","Massachusetts","Army",42.288372,-71.362548,8325,"010700050103",52.06,"meters",c(-71.362548, 42.288372)
"184","Sudbury","Massachusetts","Army",42.3834278,-71.4161725,8329,"010700050104",55.99,"meters",c(-71.4161725, 42.3834278)
"185","Calumet Air Force Station","Michigan","Air Force",47.3713733,-88.1701124,24698,"040201030502",462.56,"meters",c(-88.1701124, 47.3713733)
"186","Detroit Arsenal","Michigan","Army",42.4923148,-83.0381592,28343,"040900030205",189.71,"meters",c(-83.0381592, 42.4923148)
"187","Ft Custer","Michigan","Army",42.3351609,-85.3161211,64433,"040500030508",260.03,"meters",c(-85.3161211, 42.3351609)
"188","Lansing Airport Hangar","Michigan","Army",42.7751565,-84.5901729,60928,"040500040704",260.07,"meters",c(-84.5901729, 42.7751565)
"189","MTC-H Camp Grayling Aifield","Michigan","Army",44.680278,-84.728889,24502,"040700070306",351.55,"meters",c(-84.728889, 44.680278)
"190","MTC-H Camp Grayling-Cantonment","Michigan","Army",44.630977,-84.8006,24401,"040601030104",357.96,"meters",c(-84.8006, 44.630977)
"191","MTC-H Camp Grayling-MATES","Michigan","Army",44.686392,-84.664214,24343,"040700070308",350.87,"meters",c(-84.664214, 44.686392)
"192","Camp Ripley (Eastern AOIs)","Minnesota","Army",46.075772,-94.347973,276,"070101040903",348.02,"meters",c(-94.347973, 46.075772)
"193","Holman Field AASF","Minnesota","Army",44.942325,-93.065073,61773,"070102060805",214.1,"meters",c(-93.065073, 44.942325)
"194","MINNEAPOLIS MN NIROP","Minnesota","Navy",45.055244,-93.276851,61708,"070102060702",254.54,"meters",c(-93.276851, 45.055244)
"195","Minneapolis-St Paul Air Reserve Station","Minnesota","Air Force",44.8966979,-93.2162838,60789,"070200121110",252.87,"meters",c(-93.2162838, 44.8966979)
