"","FACILITYID","NAME","ADDRESS","CITY","STATE","ZIP","ZIP4","TELEPHONE","TYPE","STATUS","POPULATION","COUNTY","COUNTYFIPS","COUNTRY","NAICS_CODE","NAICS_DESC","SOURCE","SOURCEDATE","VAL_METHOD","VAL_DATE","WEBSITE","SECURELVL","CAPACITY","SHAPE_Leng","GlobalID","CreationDa","Creator","EditDate","Editor","SHAPE_Le_1","SHAPE_Area","intersection","HUC","elevation","elev_units","LONGITUDE","LATITUDE","INDEX_CARCERAL","GEOID","URBAN","REGION"
"11","10005850","AUDRAIN COUNTY JAIL","1100 LITTLEBY ROAD","MEXICO","MO","65265","-999","(573) 473-5801","COUNTY","OPEN",NA,"AUDRAIN","29007","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.audrainsheriff.com/",2018-03-23,"IMAGERY/OTHER",2020-01-31,"https://www.audrainsheriff.com/","NOT AVAILABLE",-999,0.00270240062488,"{BB366BDA-BFA3-4A87-8813-E60BB17F7FAA}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",338.944782164255,2.69817403e-07,59269,"071100060506",247.52,"meters",-91.8186637560983,39.1680598746612,11,290079504003005,"RURAL","WEST NORTH CENTRAL"
"12","10005872","BATES COUNTY JAIL","6 WEST FORT SCOTT STREET","BUTLER","MO","64730","-999","(660) 679-5880","COUNTY","OPEN",26,"BATES","29013","USA","922140","CORRECTIONAL INSTITUTIONS","https://batescountysheriff.com/",2018-03-23,"IMAGERY/OTHER",2020-01-31,"http://www.batescountysheriff.com/index.html","NOT AVAILABLE",100,0.00214663656777,"{0DFD7F02-9D96-4C8F-A990-AE91A90A71BE}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",265.669014070509,1.94953659e-07,61758,"102901020504",261.49,"meters",-94.3323600662754,38.2568323037077,12,290130703004024,"RURAL","WEST NORTH CENTRAL"
"13","10005564","ATTALA COUNTY JAIL","112 WEST ADAMS STREET","KOSCIUSKO","MS","39090","-999","(662) 289-5556","COUNTY","OPEN",NA,"ATTALA","28007","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.attalacounty.net/sheriff",2018-03-27,"IMAGERY/OTHER",2020-01-07,"http://www.attalacounty.net/sheriff","NOT AVAILABLE",-999,0.0017856802627,"{82803DF3-753E-4DEF-ADD8-F4A67AE84B5B}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",215.604684721159,1.96110305e-07,62211,"031800011302",144.77,"meters",-89.5906795529247,33.0597562392021,13,280070606003047,"URBAN","EAST SOUTH CENTRAL"
"14","10004389","SHACKELFORD COUNTY JAIL","791 US HWY 180 WEST","ALBANY","TX","76430","-999","(325) 762-9500","COUNTY","OPEN",11,"SHACKELFORD","48417","USA","922140","CORRECTIONAL INSTITUTIONS","http://shackelfordcounty.org/sheriffs-department/, https://www.tcjs.state.tx.us/index.php?linkID=325",2018-03-01,"IMAGERY/OTHER",2020-03-04,"NOT AVAILABLE","NOT AVAILABLE",27,0.00329283414374,"{359B0441-1C0D-48D3-B58D-F27A5927EF60}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",389.235832127065,4.80341918e-07,10257,"120601050202",428.99,"meters",-99.3027434838335,32.7171383213327,14,484179503003037,"RURAL","WEST SOUTH CENTRAL"
"15","10001287","BEXAR COUNTY JUVENILE DETENTION CENTER","600 MISSION RD","SAN ANTONIO","TX","78210","-999","NOT AVAILABLE","COUNTY","OPEN",NA,"BEXAR","48029","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.bexar.org/1390/Facilities",2018-04-25,"IMAGERY",2020-02-11,"http://www.bexar.org/1390/Facilities","JUVENILE",278,0.00560996122862,"{AD3F53AE-E649-4433-B72A-7E561F4284E6}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",675.064448016042,1.338824313e-06,49684,"121003010201",186.23,"meters",-98.490704785413,29.393353886939,15,480291402003011,"URBAN","WEST SOUTH CENTRAL"
"16","10005772","PARMENTER COMMUNITY JUSTICE CENTER","706 5TH STREET","BAY CITY","MI","48708","-999","NOT AVAILABLE","LOCAL","NOT AVAILABLE",12,"BAY","26017","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.theoaklandpress.com/news/judge-oks-abraham-s-move-to-halfway-house/article_b67a4657-ddd6-5ca7-bfad-c5d3db76bd40.html",2020-05-28,"IMAGERY/OTHER",2019-12-20,"NOT AVAILABLE","JUVENILE",13,0.000599796683383,"{36C49A35-3983-46A7-B606-00A206794368}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",81.5229326305894,2.1842418e-08,25124,"040802060204",180.79,"meters",-83.8827667009945,43.5985079592961,16,260172803001043,"URBAN","EAST NORTH CENTRAL"
"17","10006287","WOODLAND HILLS TREATMENT CENTER","4321 ALLANDALE AVE","DULUTH","MN","55803","-999","(218) 728-7500","LOCAL","OPEN",NA,"ST. LOUIS","27137","USA","922140","CORRECTIONAL INSTITUTIONS","https://thehillsyfs.org/",2018-05-18,"IMAGERY/OTHER",2020-01-02,"https://thehillsyfs.org/services/","JUVENILE",-999,0.00274723745986,"{60616569-064E-4DB0-AA0A-B3CF1D84DE16}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",374.115512593552,4.27504963e-07,24976,"040101020403",423.91,"meters",-92.0803991748794,46.8544818756045,17,271370001003011,"URBAN","WEST NORTH CENTRAL"
"18","10001675","SCIOTO COUNTY JAIL","1025 16TH ST","PORTSMOUTH","OH","45662","-999","(740) 355-8277","COUNTY","OPEN",NA,"SCIOTO","39145","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.sciotocountysheriff.com/2017-FILES/2018SHERIFF.html",2018-04-12,"IMAGERY/OTHER",2020-02-20,"http://www.sciotocountysheriff.com/2017-FILES/2018SHERIFF.html","NOT AVAILABLE",-999,0.00442861089682,"{995A2986-1A14-4DF7-860E-41220D108387}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",549.178985633778,7.64688448e-07,69507,"050600021605",162.52,"meters",-82.9916694331284,38.7443433212501,18,391450037002003,"URBAN","EAST NORTH CENTRAL"
"19","10006914","VOLUNTEERS OF AMERICA - MINNEAPOLIS RESIDENTIAL RE-ENTRY CENTER","2825 EAST LAKE STREET","MINNEAPOLIS","MN","55406","-999","(612) 721-6327","LOCAL","OPEN",NA,"HENNEPIN","27053","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.voa.org/",2018-05-18,"IMAGERY/OTHER",2020-01-02,"https://www.voamnwi.org/residential-reentry","NOT AVAILABLE",-999,0.00113309771896,"{726CA616-188F-44CC-8FEA-70A3F7BB9C36}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",159.841384647093,7.3286892e-08,61108,"070102060703",255.75,"meters",-93.2303191581211,44.9480866432679,19,270531088002000,"URBAN","WEST NORTH CENTRAL"
"20","10005396","BENTON COUNTY JAIL / SHERIFF","174 W. WASHINGTON STREET","WARSAW","MO","65355","-999","(660) 438-6135","COUNTY","OPEN",NA,"BENTON","29015","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.mosheriffs.com/view_county.php?name=Benton",2018-03-23,"IMAGERY/OTHER",2020-01-31,"http://www.bentoncomo.com/jail.html","NOT AVAILABLE",24,0.00131874736927,"{FE18DBCE-B694-4776-A28A-B9E19DE18EA1}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",164.685396773114,1.00086426e-07,13634,"102901090107",211.57,"meters",-93.3804336872491,38.2422403795122,20,290154603001075,"RURAL","WEST NORTH CENTRAL"
"21","10005885","BOLLINGER COUNTY JAIL","202 HIGH STREET","MARBLE HILL","MO","63764","-999","(573) 238-2633","COUNTY","OPEN",18,"BOLLINGER","29017","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.bollingercountysheriffsoffice.com/jail-division.html",2018-03-23,"IMAGERY/OTHER",2020-01-31,"http://bollingercountysheriffsoffice.com/index.html","NOT AVAILABLE",-999,0.00164611679859,"{5E53DFEA-AE93-42EC-8F3F-6A0EB5C34809}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",202.826313389671,1.23681966e-07,39805,"071401070303",150.3,"meters",-89.96993546385,37.3055864398833,21,290179502004030,"RURAL","WEST NORTH CENTRAL"
"22","10002698","SHERIFF AL CANNON DETENTION CENTER","3841 LEEDS AVE","NORTH CHARLESTON","SC","29405","-999","(843) 529-7300","COUNTY","OPEN",1113,"CHARLESTON","45019","USA","922140","CORRECTIONAL INSTITUTIONS","https://sheriff.charlestoncounty.org/index.php",2018-04-19,"IMAGERY/OTHER",2020-02-07,"https://sheriff.charlestoncounty.org/index.php","MAXIMUM",1917,0.0118527387088,"{E4D43522-B67E-4920-B8EF-506696E4B61E}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",1442.58035411344,3.228167888e-06,41507,"030502010605",1.08,"meters",-80.0137068472066,32.8459328489356,22,450190039002040,"URBAN","SOUTH ATLANTIC"
"23","10002832","MILAM COUNTY JAIL","512 N JEFFERSON","CAMERON","TX","76520","-999","(254) 697-7063","COUNTY","OPEN",137,"MILAM","48331","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.tcjs.state.tx.us/index.php?linkID=325, https://www.milamcountysherifftx.org/jail",2018-03-01,"IMAGERY/OTHER",2020-02-27,"NOT AVAILABLE","NOT AVAILABLE",160,0.00397567549565,"{1C7AF907-0DB6-45E3-916C-42E69126E315}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",471.943032378139,6.19810642e-07,93816,"120702040303",126.67,"meters",-96.9813106913548,30.8553400544005,23,483319504022089,"URBAN","WEST SOUTH CENTRAL"
"24","10002833","ROCKDALE REGIONAL JUVENILE JUSTICE CENTER","696 N FM 487","ROCKDALE","TX","76567","-999","(512) 446-3930","COUNTY","OPEN",NA,"MILAM","48331","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.rrjjc.com/about-us.html, https://www.facebook.com/pages/Rockdale-Regional-Juvenile-Justice-Center/423496447705663",2018-04-30,"IMAGERY/OTHER",2020-02-27,"http://www.rrjjc.com/about-us.html","JUVENILE",67,0.00300013092201,"{07A9ADE5-C317-42F2-9CAD-B4B35132C6AA}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",364.419414520802,3.73031231e-07,17475,"120701020201",151.21,"meters",-97.0048097377465,30.673582444789,24,483319507004000,"RURAL","WEST SOUTH CENTRAL"
"25","10004420","SUTTON COUNTY JAIL","401 EAST OAK STREET","SONORA","TX","76950","-999","(325) 387-2288","COUNTY","OPEN",14,"SUTTON","48435","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018-03-01,"IMAGERY/OTHER",2020-03-04,"NOT AVAILABLE","NOT AVAILABLE",28,0.00216731137931,"{9257E553-07B8-4CDA-81CC-DDF9942DA6C2}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",261.984697548083,2.74908907e-07,49873,"130403010404",663.58,"meters",-100.644041451349,30.5734150625829,25,484359503002266,"RURAL","WEST SOUTH CENTRAL"
"26","10006014","NOBLE COUNTY JAIL / COURTHOUSE","300 COURTHOUSE DR, STE 5","PERRY","OK","73077","-999","(580) 336-1001","MULTI","OPEN",NA,"NOBLE","40103","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.noblecoso.com/index_003.htm",2020-05-28,"IMAGERY",2020-01-21,"https://www.noblecoso.com/index_003.htm","NOT AVAILABLE",48,0.00105401184554,"{D663C4EA-044A-46BA-BD92-0BC31FDB95DD}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",131.246456244943,6.941951e-08,67308,"110600060406",306.48,"meters",-97.286555709743,36.2866796079794,26,401039570002033,"URBAN","WEST SOUTH CENTRAL"
"27","10001789","CARTERET COUNTY DETENTION FACILITY","306 CRAVEN ST","BEAUFORT","NC","28516","-999","(252) 728-8400","COUNTY","OPEN",128,"CARTERET","37031","USA","922140","CORRECTIONAL INSTITUTIONS","http://carteretsheriff.com/services/detention-center/",2018-04-02,"IMAGERY/OTHER",2020-02-13,"http://carteretsheriff.com/services/detention-center/","NOT AVAILABLE",117,0.00196667065495,"{24662F02-9512-4EBD-A51E-C6FB0294B0FB}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",239.850622066102,1.7701698e-07,71263,"030203010704",3.42,"meters",-76.6619853871856,34.7194485233037,27,370319703051038,"URBAN","SOUTH ATLANTIC"
"28","10004391","NOLAN COUNTY JAIL","211 AVENGER FIELD RD","SWEETWATER","TX","79556","-999","(325) 235-5487","COUNTY","OPEN",66,"NOLAN","48353","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.co.nolan.tx.us/page/nolan.Sheriff",2018-03-01,"IMAGERY/OTHER",2020-02-27,"http://nolanso.com/","NOT AVAILABLE",96,0.00317749415714,"{EC4235A3-47AB-405E-92F7-6B350182DC2B}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",378.57747666347,3.27571164e-07,17446,"120601020302",722.03,"meters",-100.464036706597,32.4572177018281,28,483539501001073,"URBAN","WEST SOUTH CENTRAL"
"29","10002932","NUECES COUNTY MCKINZIE JAIL ANNEX","745 N PADRE ISLAND DR","CORPUS CHRISTI","TX","78406","-999","(361) 241-5234","COUNTY","OPEN",400,"NUECES","48355","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.nuecesco.com/law-enforcement/sheriff/jail-commissary",2018-05-01,"IMAGERY/OTHER",2020-02-27,"http://www.nuecesco.com/law-enforcement/sheriff","NOT AVAILABLE",450,0.00562586229753,"{49DC1E03-FE34-447D-97A1-CEF3FBB00C50}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",658.695061241327,1.527146268e-06,51345,"121102020103",13.93,"meters",-97.4709992143255,27.777304260757,29,483550008001013,"RURAL","WEST SOUTH CENTRAL"
"30","10005223","MINSEC OF SCRANTON","539 LINDEN ST","SCRANTON","PA","18503","-999","(570) 341-8281","LOCAL","OPEN",NA,"LACKAWANNA","42069","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.facebook.com/pages/Minsec-Scranton/162081287143773",2020-05-28,"IMAGERY",2020-01-29,"NOT AVAILABLE","NOT AVAILABLE",30,0.00117153658262,"{2C8304BF-2CB5-4A54-8C4C-CC38CD3FA5C7}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",150.522979282842,7.3848545e-08,99600,"020501070107",228.73,"meters",-75.6610819621393,41.4085495643167,30,420691002002014,"URBAN","MID ATLANTIC"
"31","10005500","CASWELL COUNTY DETENTION CENTER","231 COUNTY PARK RD","YANCEYVILLE","NC","27379","-999","(336) 694-2590","COUNTY","OPEN",NA,"CASWELL","37033","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.caswellcountysheriffsoffice.com/detention.htm",2018-04-02,"IMAGERY/OTHER",2020-02-13,"http://www.caswellcountysheriffsoffice.com/detention.htm","NOT AVAILABLE",108,0.00324679038577,"{08B34CA7-5AAC-45CA-802B-02040A277DC4}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",405.36815995275,5.26305039e-07,90349,"030101040108",176.66,"meters",-79.3358205658382,36.406558766553,31,370339302004019,"RURAL","SOUTH ATLANTIC"
"32","10004187","CATAWBA COUNTY DETENTION FACILITY / JUSTICE CENTER","100 B SOUTHWEST BLVD","NEWTON","NC","28658","-999","(828) 465-8999","COUNTY","OPEN",317,"CATAWBA","37035","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.catawbacountync.gov/county-services/sheriffs-office/detention-facilities/general-information/",2018-04-02,"IMAGERY/OTHER",2020-02-13,"https://www.catawbacountync.gov/county-services/sheriffs-office/detention-facilities/general-information/","MAXIMUM",268,0.00466189087587,"{A1C68D03-ACEB-4887-B883-5711ED9FD65E}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",578.708395077327,9.94177547e-07,90418,"030501020302",287.8,"meters",-81.2329536590763,35.662687302643,32,370350112002041,"URBAN","SOUTH ATLANTIC"
"33","10006915","JOPLIN CITY JAIL","303 E 3RD STREET","JOPLIN","MO","64801","-999","(417) 623-3131","LOCAL","OPEN",62,"JASPER","29097","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.joplinmo.org/382/Operations-Division",2018-05-18,"IMAGERY/OTHER",2020-01-31,"http://www.joplinmo.org/311/Jail","NOT AVAILABLE",60,0.00292783415427,"{76FDE001-B6A3-41C2-BEFC-CDF30A9E575F}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",361.7515658712,3.69196853e-07,60275,"110702070901",304.99,"meters",-94.511117875421,37.0891080683459,33,290970101001053,"URBAN","WEST NORTH CENTRAL"
"34","10001613","BUCHANAN COUNTY JAIL","501 FARAON ST","ST. JOSEPH","MO","64501","-999","(816) 236-8800","COUNTY","OPEN",NA,"BUCHANAN","29021","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.co.buchanan.mo.us/201/Corrections",2018-03-26,"IMAGERY/OTHER",2020-01-31,"http://www.co.buchanan.mo.us/196/Sheriffs-Office","MAXIMUM",224,0.00501505134126,"{A3920993-24FD-4806-B5A2-6E93DBCCB566}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",597.489339513268,5.73179237e-07,87031,"102400110103",280.73,"meters",-94.8539758554917,39.7693641000375,34,290210012002008,"URBAN","WEST NORTH CENTRAL"
"35","10005388","CALDWELL COUNTY DETENTION CENTER","280 WEST MAIN STREET","KINGSTON","MO","64650","-999","(816) 585-5245","COUNTY","OPEN",NA,"CALDWELL","29025","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.caldwellco.missouri.org/detention-center/",2018-03-26,"IMAGERY/OTHER",2020-01-31,"http://caldwellco.missouri.org/detention-center/","NOT AVAILABLE",-999,0.00207324590086,"{7C070786-D60E-434E-9234-F1AB19DCE3B8}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",259.645069002291,2.24232074e-07,61229,"102801011305",272.85,"meters",-94.0467370658246,39.6422101432842,35,290259502013178,"RURAL","WEST NORTH CENTRAL"
"36","10004362","OLDHAM COUNTY JAIL","105 SOUTH MAIN STREET","VEGA","TX","79092","-999","(806) 267-2162","COUNTY","OPEN",3,"OLDHAM","48359","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018-03-01,"IMAGERY/OTHER",2020-02-27,"NOT AVAILABLE","NOT AVAILABLE",10,0.00155262374731,"{63FEA814-D372-41AF-A378-F735ABAD6EBD}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",197.47391974016,1.39517098e-07,16342,"111201020206",1227.11,"meters",-102.427750908899,35.246598348841,36,483599501001063,"RURAL","WEST SOUTH CENTRAL"
